Date,Amount,Description
2024-01-15,250.00,Zomato Food Order
2024-01-16,50.00,Auto Rickshaw - Andheri to Bandra
2024-01-17,500.00,Grocery Shopping - DMart
2024-01-18,300.00,Swiggy Delivery
2024-01-19,25.00,Local Train - Daily Pass
2024-01-20,150.00,Petrol - Bike Fill-up
2024-01-21,80.00,Gig Platform Commission
2024-01-22,200.00,Zomato Dinner Order
2024-01-23,35.00,Tea and Snacks
2024-01-24,400.00,Mobile Recharge
2024-01-25,120.00,Medicine - Pharmacy
2024-01-26,75.00,Vegetable Market
2024-01-27,180.00,Gig Equipment - Phone Holder
2024-01-28,60.00,Auto Rickshaw - Home to Work
2024-01-29,320.00,Swiggy Late Night Order
2024-01-30,90.00,Laundry Service
